2013/01/11 14:22:05	UPLINK	GET_WITH_FILE	40	43
2013/01/11 14:22:05	DATABASE	PUBLISH	92	43
2013/01/11 14:22:05	NRS	PUBLISH	34	43
2013/01/11 14:22:08	UPLINK	GET_WITH_FILE	43	3035
2013/01/11 14:22:09	DATABASE	PUBLISH	105	3035
2013/01/11 14:22:09	NRS	PUBLISH	37	3035
2013/01/11 14:22:12	UPLINK	GET_WITH_FILE	39	274
2013/01/11 14:22:12	DATABASE	PUBLISH	151	274
2013/01/11 14:22:12	NRS	PUBLISH	41	274
2013/01/11 14:22:15	UPLINK	GET_WITH_FILE	32	5445
2013/01/11 14:22:15	DATABASE	PUBLISH	134	5445
2013/01/11 14:22:15	NRS	PUBLISH	39	5445
2013/01/11 14:22:16	DATABASE	GET_WITH_FILE	18	274
2013/01/11 14:22:16	DATABASE	PUBLISH	14	274
2013/01/11 14:22:16	NRS	PUBLISH	63	274
2013/01/11 14:22:19	UPLINK	GET_WITH_FILE	56	173
2013/01/11 14:22:19	DATABASE	PUBLISH	118	173
2013/01/11 14:22:19	NRS	PUBLISH	49	173
2013/01/11 14:22:22	UPLINK	GET_WITH_FILE	227	43
2013/01/11 14:22:23	DATABASE	PUBLISH	176	43
2013/01/11 14:22:23	NRS	PUBLISH	72	43
2013/01/11 14:22:23	DATABASE	GET_WITH_FILE	19	274
2013/01/11 14:22:23	DATABASE	PUBLISH	50	274
2013/01/11 14:22:23	NRS	PUBLISH	33	274
2013/01/11 14:22:26	UPLINK	GET_WITH_FILE	77	896
2013/01/11 14:22:27	DATABASE	PUBLISH	164	896
2013/01/11 14:22:27	NRS	PUBLISH	38	896
2013/01/11 14:22:30	UPLINK	GET_WITH_FILE	41	174
2013/01/11 14:22:30	DATABASE	PUBLISH	134	174
2013/01/11 14:22:30	NRS	PUBLISH	40	174
2013/01/11 14:22:33	UPLINK	GET_WITH_FILE	50	9427
2013/01/11 14:22:33	DATABASE	PUBLISH	106	9427
2013/01/11 14:22:33	NRS	PUBLISH	46	9427
2013/01/11 14:22:36	UPLINK	GET_WITH_FILE	47	43
2013/01/11 14:22:37	DATABASE	PUBLISH	157	43
2013/01/11 14:22:37	NRS	PUBLISH	296	43
2013/01/11 14:22:40	UPLINK	GET_WITH_FILE	145	5140
2013/01/11 14:22:40	DATABASE	PUBLISH	107	5140
2013/01/11 14:22:40	NRS	PUBLISH	77	5140
2013/01/11 14:22:44	UPLINK	GET_WITH_FILE	72	1369
2013/01/11 14:22:44	DATABASE	PUBLISH	118	1369
2013/01/11 14:22:44	NRS	PUBLISH	131	1369
2013/01/11 14:22:47	UPLINK	GET_WITH_FILE	95	1907
2013/01/11 14:22:47	DATABASE	PUBLISH	121	1907
2013/01/11 14:22:47	NRS	PUBLISH	41	1907
2013/01/11 14:22:50	UPLINK	GET_WITH_FILE	521	43
2013/01/11 14:22:51	DATABASE	PUBLISH	84	43
2013/01/11 14:22:51	NRS	PUBLISH	43	43
2013/01/11 14:22:54	UPLINK	GET_WITH_FILE	397	5225
2013/01/11 14:22:55	DATABASE	PUBLISH	151	5225
2013/01/11 14:22:55	NRS	PUBLISH	34	5225
2013/01/11 14:22:58	UPLINK	GET_WITH_FILE	31	5634
2013/01/11 14:22:58	DATABASE	PUBLISH	117	5634
2013/01/11 14:22:58	NRS	PUBLISH	40	5634
2013/01/11 14:23:01	UPLINK	GET_WITH_FILE	91	748
2013/01/11 14:23:02	WEBSITE	WEBSITE_VISITED	0	imdb.com
2013/01/11 14:23:02	DATABASE	PUBLISH	147	748
2013/01/11 14:23:02	NRS	PUBLISH	35	748
2013/01/11 14:23:05	UPLINK	GET_WITH_FILE	1086	465655
2013/01/11 14:23:06	DATABASE	PUBLISH	121	465655
2013/01/11 14:23:06	NRS	PUBLISH	244	465655
2013/01/11 14:23:10	UPLINK	GET_WITH_FILE	26	8033
2013/01/11 14:23:10	DATABASE	PUBLISH	152	8033
2013/01/11 14:23:10	NRS	PUBLISH	42	8033
2013/01/11 14:23:13	UPLINK	GET_WITH_FILE	26	43
2013/01/11 14:23:13	DATABASE	PUBLISH	124	43
